frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
3560,216.08,358.45,134.56,65,35,71
3570,228.36,345.09,129.02,65,35,71
3580,240.43,330.89,120.19,65,35,71
3590,252.38,314.31,108.75,65,35,71
3600,263.32,297.06,100.84,65,35,71
3610,272.61,280.38,98.13,65,35,71
3620,280.11,265.10,98.39,65,35,71
3630,288.10,253.74,99.52,65,35,71
3640,295.53,247.01,100.12,65,35,71
3650,301.82,244.29,100.15,65,35,71
3660,309.05,244.70,99.02,65,35,71
3670,317.62,245.79,95.60,65,35,71
3680,326.78,240.76,91.24,65,35,71
3690,336.60,231.47,88.89,65,35,71
3700,347.03,221.66,89.74,65,35,71
3710,348.29,214.38,91.84,64,35,71
3720,358.24,208.74,92.53,64,35,71
3730,369.61,204.69,91.44,64,35,71
3740,369.42,203.40,89.46,63,35,71
3750,364.73,204.73,86.75,62,35,71
3760,366.39,208.83,88.04,62,35,71
3770,362.62,216.33,92.32,62,35,71
3780,352.39,226.07,96.47,62,35,71
3790,341.05,233.85,98.83,62,35,71
3800,330.79,239.17,100.57,62,35,71
3810,309.78,243.23,102.61,61,35,71
3820,302.55,243.66,103.76,61,35,71
3830,296.16,239.64,104.41,61,35,71
3840,290.72,233.35,104.86,61,35,71
3850,288.43,226.59,105.30,61,35,71
3860,289.81,220.94,106.73,61,35,71
3870,293.23,216.33,108.38,61,35,71
3880,299.01,213.11,110.41,61,35,71
3890,306.96,211.41,111.16,61,35,71
3900,314.27,205.78,108.85,61,35,71
3910,317.83,188.98,103.35,61,35,71
3920,318.59,161.97,97.38,61,35,71
3930,318.83,133.92,92.93,61,35,71
3940,316.98,107.77,89.99,61,35,71
3950,315.17,87.49,86.72,61,35,71
3960,314.13,82.38,80.38,61,35,71
3970,313.58,86.17,72.08,61,35,71
3980,312.63,89.63,66.76,61,35,71
3990,309.97,90.33,66.07,61,35,71
4000,308.05,86.69,72.62,61,35,71
4010,307.42,79.45,85.74,61,35,71
4020,308.42,74.45,101.86,61,35,71
4030,309.59,74.64,116.70,61,35,71
4040,311.64,79.03,128.47,61,35,71
4050,314.64,82.31,137.87,61,35,71
4060,318.47,86.12,146.72,61,35,71
4070,321.24,93.10,157.34,61,33,71
4080,318.81,98.38,168.67,61,33,71
4090,311.89,104.00,177.81,61,32,71
4100,301.72,107.28,184.74,61,32,71
4110,291.38,115.54,187.55,61,32,71
4120,282.02,127.57,185.74,61,32,71
4130,273.75,141.13,183.05,61,32,71
4140,266.37,153.96,182.40,61,32,71
4150,259.88,166.71,184.22,61,32,71
4160,255.20,181.66,186.93,61,32,71
4170,252.53,193.77,189.16,61,32,71
4180,253.23,204.09,190.40,61,32,71
4190,257.11,212.62,190.50,61,32,71
4200,264.21,216.58,190.15,61,32,71
4210,274.24,214.65,191.35,61,32,71
4220,285.55,201.59,194.54,61,31,71
4230,295.44,195.13,202.36,61,31,71
4240,300.76,190.82,214.18,61,31,71
4250,303.68,188.16,230.45,61,31,71
4260,309.98,186.83,248.76,60,31,71
4270,312.30,182.08,267.48,60,30,71
4280,315.80,188.40,286.75,59,30,71
4290,311.16,196.86,307.62,59,30,71
4300,312.33,199.93,329.86,58,29,71
4310,313.91,209.50,350.29,57,29,71
4320,310.82,215.38,362.49,57,29,71
4330,306.87,219.43,365.24,57,29,71
4340,303.81,222.87,366.53,57,29,71
4350,303.07,225.85,364.86,57,29,71
4360,304.60,223.63,359.86,57,29,71
4370,307.21,212.03,350.18,57,29,71
4380,308.66,200.37,333.10,57,29,71
4390,304.96,191.46,312.35,57,29,71
4400,297.11,185.13,290.97,57,29,71
4410,287.49,181.67,269.26,57,29,71
4420,277.09,181.73,247.10,57,29,71
